Price,Close,High,Low,Open,Volume
Ticker,CBA.AX,CBA.AX,CBA.AX,CBA.AX,CBA.AX
Date,,,,,
2020-01-02,63.10222625732422,63.370816743174515,62.71514617309365,63.03113249829605,1416232
2020-01-03,63.44189453125,64.13706547707955,63.394498703829385,63.96327274062216,1622784
2020-01-06,63.01532745361328,63.10222384038909,62.588752861907196,62.98373424654719,2129260
2020-01-07,64.14497375488281,64.14497375488281,63.339214390861315,63.84479007552923,2417468
2020-01-08,63.90797424316406,64.18445994214296,63.22070462547115,64.16076202893566,1719114
2020-01-09,64.37405395507812,64.65053967415903,64.12126615092748,64.38195526903377,3014295
2020-01-10,65.17192840576172,65.17192840576172,64.46491437975783,64.4846586274216,2875353
2020-01-13,65.1561279296875,65.23512299646038,64.56365588848507,64.85593823823842,1434635
2020-01-14,65.70121765136719,65.97770348077847,65.38523126335183,65.53532615372042,2703855
2020-01-15,66.0882797241211,66.17517007285377,65.6458965315479,65.6458965315479,2039328
2020-01-16,66.72026824951172,66.72026824951172,66.26208830429916,66.35688602546209,3058484
2020-01-17,66.39636993408203,67.11523288509792,66.36477070161776,66.94144012001308,2401336
2020-01-20,66.30158233642578,66.67286584076705,66.22258725670042,66.35687949492736,1980399
2020-01-21,65.94609069824219,66.26207096555864,65.72489607340849,66.26207096555864,1923944
2020-01-22,66.71234893798828,66.79924531888055,65.95398545405897,65.96188676875933,3656698
2020-01-23,66.76766204833984,67.1073463384127,66.56227603252923,66.70446959644201,2105704
2020-01-24,67.09943389892578,67.4628160189514,66.96513565898863,67.06783466758394,2839291
2020-01-28,66.37266540527344,66.4121659522404,65.99348667291461,66.1198775747218,2273413
2020-01-29,66.83873748779297,67.03622814198762,66.48325672101718,66.70444528940536,1877335
2020-01-30,67.49442291259766,67.49442291259766,66.89404950281931,67.02044041559813,3176161
2020-01-31,67.35221099853516,67.91308370493928,67.06782398867728,67.59709746877094,6713764
2020-02-03,66.79134368896484,67.10732392372866,66.40425765558685,66.47535742726437,2139581
2020-02-04,66.60176086425781,66.90195058155366,66.32922273752881,66.67286064933128,2564013
2020-02-05,65.7881088256836,67.14684596721266,65.7881088256836,67.14684596721266,3166202
2020-02-06,66.53855895996094,66.63335062399607,65.96188355368723,66.30156774599926,3581220
2020-02-07,66.98883056640625,66.98883056640625,66.31735753810852,66.84663705801731,3368097
2020-02-10,66.60964965820312,66.94143252100893,66.42006031187647,66.94143252100893,1818742
2020-02-11,66.92564392089844,67.14683252254507,66.76764775762413,66.98884238620815,1913033
2020-02-12,69.6589126586914,69.95909632159429,68.09478382644807,68.09478382644807,7132862
2020-02-13,70.09339904785156,70.09339904785156,69.41403058530031,69.90380364415985,4143011
2020-02-14,71.87870025634766,71.92610211394187,70.54366746835655,70.62266252843122,7942600
2020-02-17,70.67007446289062,71.79182024160204,70.50418299085061,71.72072647941552,2619663
2020-02-18,71.30204010009766,71.30204010009766,70.7648651845183,70.94655324345597,3817424
2020-02-19,70.95466613769531,71.21318226017124,70.68806965290469,71.10008184180742,8050978
2020-02-20,70.97081756591797,71.17278347029651,70.61536176539872,70.9546630055122,2902590
2020-02-21,71.73828125,71.73828125,70.71229115365506,70.97080722705917,2506023
2020-02-24,71.08392333984375,71.08392333984375,70.60728672805138,70.77693736090174,2432907
2020-02-25,70.12256622314453,70.51033731770445,69.3550920691644,69.71863440426354,3475833
2020-02-26,68.9511489868164,69.51665713897786,68.7249481913556,68.93499442864467,3362264
2020-02-27,68.20792388916016,69.18543810402869,67.6424218354379,68.76535174462218,4435151
2020-02-28,66.06708526611328,66.72145282013317,65.65507309781808,66.4467821502765,7654504
2020-03-02,65.00878143310547,65.25113680215608,63.619255128579994,64.66948021832873,4714534
2020-03-03,63.91007995605469,66.2044092649808,63.893919235000745,65.84087316688633,4537570
2020-03-04,62.29436111450195,63.33650587178147,61.801563837877296,63.15069453653366,4610814
2020-03-05,62.00352478027344,63.25571569400848,61.71269342177381,63.13453493404872,5804404
2020-03-06,59.72535705566406,60.99370267941074,59.72535705566406,60.85636734467307,4995332
2020-03-09,55.863765716552734,58.1338603197845,55.863765716552734,57.358312051386925,7669261
2020-03-10,59.27294921875,59.27294921875,53.117026921664724,54.55502301414293,8874773
2020-03-11,55.338653564453125,59.377971342880365,55.338653564453125,59.03058976739523,8171997
